route,viewport,defect_type,evidence,severity,recommendation
/tools/hmo-license-checker,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/tools-hmo-license-checker-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-10-11,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-10-11-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-10-11,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-10-11-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-10-11,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-10-11-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-money-claim-online,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-money-claim-online-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-money-claim-online,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-money-claim-online-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-money-claim-online,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-money-claim-online-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-14,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-14-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-14,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-14-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-14,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-14-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-12,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-12-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-12,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-12-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-12,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-12-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/uk-guarantor-agreements-guide,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-uk-guarantor-agreements-guide-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/uk-guarantor-agreements-guide,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-uk-guarantor-agreements-guide-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/uk-guarantor-agreements-guide,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-uk-guarantor-agreements-guide-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-serve-eviction-notice,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-how-to-serve-eviction-notice-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-serve-eviction-notice,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-how-to-serve-eviction-notice-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-serve-eviction-notice,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-how-to-serve-eviction-notice-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/notice-only,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-notice-only-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/notice-only,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-notice-only-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/notice-only,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-notice-only-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/complete-pack,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-complete-pack-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/complete-pack,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-complete-pack-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/complete-pack,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-complete-pack-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/money-claim,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-money-claim-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/money-claim,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-money-claim-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/money-claim,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-money-claim-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/ast,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-ast-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/ast,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-ast-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/ast,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-ast-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/section-13-standard,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-section-13-standard-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/section-13-standard,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-section-13-standard-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/section-13-standard,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-section-13-standard-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
