route,viewport,visible_mojibake,body_text_length,contextual_offer_text,result
/n5-n119-possession-claim,tablet,no,19340,,pass
/n5-n119-possession-claim,desktop,no,19471,,pass
/money-claim-carpet-damage,mobile,no,8377,"Relevant next stepReady to turn the arrears into a clear claim file?When the debt is quantified, prepare the arrears record, pre-action letter and county court claim documents without starting the legal process from scratch.Fixed price £28.99. Preview available before payment.• Organise the debt and payment history clearly.• Prepare the claim narrative and supporting documents.• Preview the available output before payment.Prepare my money claimKeep reading this guide",pass
/money-claim-carpet-damage,tablet,no,8377,"Relevant next stepReady to turn the arrears into a clear claim file?When the debt is quantified, prepare the arrears record, pre-action letter and county court claim documents without starting the legal process from scratch.Fixed price £28.99. Preview available before payment.• Organise the debt and payment history clearly.• Prepare the claim narrative and supporting documents.• Preview the available output before payment.Prepare my money claimKeep reading this guide",pass
/money-claim-carpet-damage,desktop,no,8508,"Relevant next stepReady to turn the arrears into a clear claim file?When the debt is quantified, prepare the arrears record, pre-action letter and county court claim documents without starting the legal process from scratch.Fixed price £28.99. Preview available before payment.• Organise the debt and payment history clearly.• Prepare the claim narrative and supporting documents.• Preview the available output before payment.Prepare my money claimKeep reading this guide",pass
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,no,7476,"Relevant next stepNeed to serve a notice for this tenancy problem?Use the guided notice builder to keep the grounds, dates, service steps and evidence checks aligned before you serve anything.Fixed price £39.99. Preview available before payment.• Use the current notice route for the facts entered.• Check dates and service requirements before serving.• Preview the available paperwork before payment.Create my Section 8 noticeKeep reading this guide",pass
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,tablet,no,7476,"Relevant next stepNeed to serve a notice for this tenancy problem?Use the guided notice builder to keep the grounds, dates, service steps and evidence checks aligned before you serve anything.Fixed price £39.99. Preview available before payment.• Use the current notice route for the facts entered.• Check dates and service requirements before serving.• Preview the available paperwork before payment.Create my Section 8 noticeKeep reading this guide",pass
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,no,7580,"Relevant next stepNeed to serve a notice for this tenancy problem?Use the guided notice builder to keep the grounds, dates, service steps and evidence checks aligned before you serve anything.Fixed price £39.99. Preview available before payment.• Use the current notice route for the facts entered.• Check dates and service requirements before serving.• Preview the available paperwork before payment.Create my Section 8 noticeKeep reading this guide",pass
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,no,12829,,pass
/blog/how-to-write-letter-before-action-unpaid-rent,tablet,no,12829,,pass
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,no,13182,,pass
/blog/england-bailiff-eviction,mobile,no,17620,,pass
/blog/england-bailiff-eviction,tablet,no,17620,,pass
/blog/england-bailiff-eviction,desktop,no,17973,,pass
/blog/england-section-8-ground-1,mobile,no,18103,,pass
/blog/england-section-8-ground-1,tablet,no,18103,,pass
/blog/england-section-8-ground-1,desktop,no,18446,,pass
/blog/england-county-court-forms,mobile,no,16951,,pass
/blog/england-county-court-forms,tablet,no,16951,,pass
/blog/england-county-court-forms,desktop,no,17338,,pass
/blog/how-long-does-eviction-take-uk,mobile,no,14962,,pass
/blog/how-long-does-eviction-take-uk,tablet,no,14962,,pass
/blog/how-long-does-eviction-take-uk,desktop,no,15311,,pass
/blog/england-section-8-ground-10-11,mobile,no,20120,,pass
/blog/england-section-8-ground-10-11,tablet,no,20120,,pass
/blog/england-section-8-ground-10-11,desktop,no,20542,,pass
/blog/england-money-claim-online,mobile,no,19204,,pass
/blog/england-money-claim-online,tablet,no,19204,,pass
/blog/england-money-claim-online,desktop,no,19596,,pass
/blog/england-section-8-ground-14,mobile,no,21012,,pass
/blog/england-section-8-ground-14,tablet,no,21012,,pass
/blog/england-section-8-ground-14,desktop,no,21416,,pass
/blog/england-section-8-ground-12,mobile,no,21873,,pass
/blog/england-section-8-ground-12,tablet,no,21873,,pass
/blog/england-section-8-ground-12,desktop,no,22259,,pass
/blog/uk-guarantor-agreements-guide,mobile,no,13480,,pass
/blog/uk-guarantor-agreements-guide,tablet,no,13480,,pass
/blog/uk-guarantor-agreements-guide,desktop,no,13796,,pass
/blog/how-to-serve-eviction-notice,mobile,no,14924,,pass
/blog/how-to-serve-eviction-notice,tablet,no,14924,,pass
/blog/how-to-serve-eviction-notice,desktop,no,15270,,pass
/products/notice-only,mobile,no,15525,,pass
/products/notice-only,tablet,no,15534,,pass
/products/notice-only,desktop,no,15724,,pass
/products/complete-pack,mobile,no,17393,,pass
/products/complete-pack,tablet,no,17402,,pass
/products/complete-pack,desktop,no,17583,,pass
/products/money-claim,mobile,no,11296,,pass
/products/money-claim,tablet,no,11296,,pass
/products/money-claim,desktop,no,11464,,pass
/products/ast,mobile,no,11798,,pass
/products/ast,tablet,no,11798,,pass
/products/ast,desktop,no,11984,,pass
/products/section-13-standard,mobile,no,10009,,pass
/products/section-13-standard,tablet,no,10009,,pass
/products/section-13-standard,desktop,no,10190,,pass
